County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Score
"Kemper County, MS",7,5,8,1,1,5,20
"Lauderdale County, MS",7,4,9,1,1,5,20
"Newton County, MS",7,4,8,1,1,6,20
"Panola County, MS",7,5,8,1,1,5,20
"Pearl River County, MS",4,5,8,1,1,7,20
"Pontotoc County, MS",6,6,8,1,1,5,20
"Scott County, MS",7,5,8,1,1,5,20
"Sunflower County, MS",7,7,7,1,1,5,20
"Cape Girardeau County, MO",6,7,8,1,1,5,20
"Carter County, MO",6,9,6,1,2,5,20
"Cedar County, MO",6,5,8,1,2,5,20
"Morgan County, MO",4,5,8,1,2,6,20
"New Madrid County, MO",6,7,8,1,1,5,20
"Osage County, MO",6,7,8,1,1,5,20
"Pemiscot County, MO",6,7,8,1,1,5,20
"Scott County, MO",6,7,8,1,1,5,20
"Stone County, MO",6,2,8,1,2,6,20
"Cumberland County, NC",6,6,8,1,1,5,20
"Hertford County, NC",6,4,8,4,2,5,20
"Washington County, NC",4,7,6,4,2,5,20
"Wilson County, NC",6,6,8,1,1,5,20
"Alfalfa County, OK",9,4,9,1,1,4,20
"Atoka County, OK",7,4,9,1,2,4,20
"Choctaw County, OK",9,4,9,1,1,4,20
"Cleveland County, OK",7,4,9,1,2,4,20
"Comanche County, OK",7,4,10,1,1,4,20
"Ellis County, OK",7,2,9,1,3,4,20
"Garvin County, OK",7,4,10,1,1,4,20
"Hughes County, OK",7,4,9,1,2,4,20
"McIntosh County, OK",7,4,9,1,2,4,20
"Murray County, OK",7,4,10,1,1,4,20
"Okfuskee County, OK",7,4,9,1,2,4,20
"Osage County, OK",7,4,8,1,3,4,20
"Pawnee County, OK",7,4,9,1,2,4,20
"Tulsa County, OK",7,4,9,1,2,4,20
"Morrow County, OR",4,1,5,1,9,5,20
"Clarendon County, SC",6,4,8,1,3,5,20
"Florence County, SC",6,4,8,1,3,5,20
"Chester County, TN",6,7,8,1,1,5,20
"Crockett County, TN",6,7,8,1,1,5,20
"Fayette County, TN",7,5,8,1,1,5,20
"Gibson County, TN",6,7,8,1,1,5,20
"Haywood County, TN",6,7,8,1,1,5,20
"Henderson County, TN",6,7,8,1,1,5,20
"Lauderdale County, TN",6,6,8,1,1,5,20
"McNairy County, TN",6,6,8,1,1,5,20
"Montgomery County, TN",6,7,8,1,1,5,20
"Obion County, TN",6,7,8,1,1,5,20
"Weakley County, TN",6,7,8,1,1,5,20
"Anderson County, TX",7,2,10,1,1,5,20
"Bandera County, TX",7,2,8,1,2,6,20
"Bowie County, TX",7,4,9,1,1,5,20
"Cass County, TX",7,4,9,1,1,5,20
"Cherokee County, TX",7,2,10,1,1,5,20
"Cooke County, TX",7,2,10,1,1,5,20
"Donley County, TX",9,2,8,1,3,4,20
"Falls County, TX",9,4,8,1,1,5,20
"Fannin County, TX",9,4,9,1,1,4,20
"Franklin County, TX",7,2,10,1,1,5,20
"Frio County, TX",10,2,8,1,1,5,20
"Grayson County, TX",7,4,9,1,1,5,20
"Leon County, TX",9,2,9,1,1,5,20
"Lubbock County, TX",9,2,8,1,2,5,20
"Lynn County, TX",9,2,8,1,2,5,20
"McLennan County, TX",9,4,8,1,1,5,20
"Milam County, TX",9,4,8,1,1,5,20
"Nacogdoches County, TX",9,2,9,1,1,5,20
"Nolan County, TX",9,2,8,1,2,5,20
"Orange County, TX",6,10,1,4,1,8,20
"Rusk County, TX",7,2,10,1,1,5,20
"San Augustine County, TX",7,2,10,1,1,5,20
"Smith County, TX",7,2,10,1,1,5,20
"Upshur County, TX",7,2,10,1,1,5,20
"Victoria County, TX",9,2,8,3,1,5,20
"Wharton County, TX",7,2,8,1,1,6,20
"Wheeler County, TX",7,2,8,1,3,5,20
"Williamson County, TX",9,4,8,1,1,5,20
"Juab County, UT",7,2,4,1,8,4,20
"Millard County, UT",7,1,4,1,9,4,20
"Salt Lake County, UT",7,2,5,1,7,4,20
"Charles City County, VA",6,6,7,4,1,5,20
"Suffolk city, VA",6,4,8,4,2,5,20
"Grant County, WA",4,1,5,1,9,5,20
"Coffee County, AL",6,2,8,1,1,6,19
"Crenshaw County, AL",6,2,8,1,1,6,19
"Dallas County, AL",6,4,8,1,1,6,19
"Hale County, AL",6,4,8,1,1,6,19
"Houston County, AL",6,4,8,1,1,6,19
"Lamar County, AL",7,4,8,1,1,5,19
"Macon County, AL",6,2,8,1,1,6,19
"Shelby County, AL",6,4,8,1,2,5,19
"Greenlee County, AZ",7,1,6,1,6,5,19
"Pima County, AZ",10,2,1,1,7,6,19
"Conway County, AR",7,4,8,1,2,4,19
"Craighead County, AR",7,6,8,1,1,4,19
"Crawford County, AR",7,4,8,1,2,4,19
"Crittenden County, AR",7,6,7,1,1,5,19
"Faulkner County, AR",7,4,8,1,2,4,19
"Hempstead County, AR",7,2,9,1,1,5,19
"Hot Spring County, AR",7,4,8,1,2,4,19
"Jefferson County, AR",6,7,8,1,1,4,19
"Lonoke County, AR",6,7,8,1,1,4,19
"Poinsett County, AR",7,6,8,1,1,4,19
"Saline County, AR",6,4,8,1,2,5,19
"Sebastian County, AR",7,4,8,1,2,4,19
"Placer County, CA",4,2,5,1,7,5,19
"Tulare County, CA",9,2,8,1,1,5,19
"Mesa County, CO",7,2,4,1,7,4,19
"Broward County, FL",4,4,1,4,6,8,19
"DeSoto County, FL",9,5,1,4,2,8,19
"Escambia County, FL",4,7,3,3,1,8,19
"Franklin County, FL",4,6,1,4,2,10,19
"Lee County, FL",9,6,1,4,1,8,19
"Nassau County, FL",6,6,1,4,3,8,19
"Santa Rosa County, FL",4,7,3,4,1,8,19
"Walton County, FL",6,4,3,4,3,8,19
"Washington County, FL",4,2,6,3,1,9,19
